T      Bact  Phage     Lys   VMR  P_spec B_spec 
 495  830841 10191752  347813  8.6   98   70 
 496  830841 10191752  347813  8.6   98   70 
 497  830841 10191752  347813  8.6   98   70 
 498  830841 10191752  347813  8.6   98   70 
 499  830841 10191752  347813  8.6   98   70 
 500  830841 10191752  347813  8.6   98   70 
 501  830841 10191752  347813  8.6   98   70 
 502  830841 10191752  347813  8.6   98   70 
 503  830841 10191752  347813  8.6   98   70 
 504  830841 10191752  347813  8.6   98   70 
 505  830841 10191752  347813  8.6   98   70 
 506  830841 10191752  347813  8.6   98   70 
 507  830841 10191752  347813  8.6   98   70 
 508  830841 10191752  347813  8.6   98   70 
 509  830841 10191752  347813  8.6   98   70 
 510  830841 10191752  347813  8.6   98   70 
 511  830841 10191752  347813  8.6   98   70 
 512  830841 10191752  347813  8.6   98   70 
 513  830841 10191752  347813  8.6   98   70 
 514  830841 10191752  347813  8.6   98   70 
 515  830841 10191752  347813  8.6   98   70 
 516  830841 10191752  347813  8.6   98   70 
 517  830841 10191752  347813  8.6   98   70 
 518  830841 10191752  347813  8.6   98   70 
 519  830841 10191752  347813  8.6   98   70 
 520  830841 10191752  347813  8.6   98   70 
 521  830841 10191752  347813  8.6   98   70 
 522  830841 10191752  347813  8.6   98   70 
 523  830841 10191752  347813  8.6   98   70 
 524  830841 10191752  347813  8.6   98   70 
 525  830841 10191752  347813  8.6   98   70 
 526  830841 10191752  347813  8.6   98   70 
 527  830841 10191752  347813  8.6   98   70 
 528  830841 10191752  347813  8.6   98   70 
 529  830841 10191752  347813  8.6   98   70 
 530  830841 10191752  347813  8.6   98   70 
 531  830841 10191752  347813  8.6   98   70 
 532  830841 10191752  347813  8.6   98   70 
 533  830841 10191752  347813  8.6   98   70 
 534  830841 10191752  347813  8.6   98   70 
 535  830841 10191752  347813  8.6   98   70 
 536  830841 10191752  347813  8.6   98   70 
 537  830841 10191752  347813  8.6   98   70 
 538  830841 10191752  347813  8.6   98   70 
 539  830841 10191752  347813  8.6   98   70 
 540  830841 10191752  347813  8.6   98   70 
 541  830841 10191752  347813  8.6   98   70 
 542  830841 10191752  347813  8.6   98   70 
 543  830841 10191752  347813  8.6   98   70 
 544  830841 10191752  347813  8.6   98   70 
 545  830841 10191752  347813  8.6   98   70 
 546  830841 10191752  347813  8.6   98   70 
 547  830841 10191752  347813  8.6   98   70 
 548  830841 10191752  347813  8.6   98   70 
 549  830841 10191752  347813  8.6   98   70 
 550  830841 10191752  347813  8.6   98   70 
 551  830841 10191752  347813  8.6   98   70 
 552  830841 10191752  347813  8.6   98   70 
 553  830841 10191752  347813  8.6   98   70 
 554  830841 10191752  347813  8.6   98   70 
 555  830841 10191752  347813  8.6   98   70 
 556  830841 10191752  347813  8.6   98   70 
 557  830841 10191752  347813  8.6   98   70 
 558  830841 10191752  347813  8.6   98   70 
 559  830841 10191752  347813  8.6   98   70 
 560  830841 10191752  347813  8.6   98   70 
 561  830841 10191752  347813  8.6   98   70 
 562  830841 10191752  347813  8.6   98   70 
 563  830841 10191752  347813  8.6   98   70 
 564  830841 10191752  347813  8.6   98   70 
 565  830841 10191752  347813  8.6   98   70 
 566  830841 10191752  347813  8.6   98   70 
 567  830841 10191752  347813  8.6   98   70 
 568  830841 10191752  347813  8.6   98   70 
 569  830841 10191752  347813  8.6   98   70 
 570  830841 10191752  347813  8.6   98   70 
 571  830841 10191752  347813  8.6   98   70 
 572  830841 10191752  347813  8.6   98   70 
 573  830841 10191752  347813  8.6   98   70 
 574  830841 10191752  347813  8.6   98   70 
 575  830841 10191752  347813  8.6   98   70 
 576  830841 10191752  347813  8.6   98   70 
 577  830841 10191752  347813  8.6   98   70 
 578  830841 10191752  347813  8.6   98   70 
 579  830841 10191752  347813  8.6   98   70 
 580  830841 10191752  347813  8.6   98   70 
 581  830841 10191752  347813  8.6   98   70 
 582  830841 10191752  347813  8.6   98   70 
 583  830841 10191752  347813  8.6   98   70 
 584  830841 10191752  347813  8.6   98   70 
